"","Force.type","Force.level","year.of.record"
"1199","Firearm Exhibited","L1",2015
"1200","Firearm Exhibited","L1",2015
"1201","Firearm Exhibited","L1",2015
"1202","Firearm Exhibited","L1",2015
"1203","Firearm Exhibited","L1",2015
"1204","Firearm Exhibited","L1",2015
"1205","Firearm Exhibited","L1",2015
"1206","Firearm Exhibited","L1",2015
"1207","Firearm Exhibited","L1",2015
"1208","Hands / Escort tech","L1",2015
"1209","Hands / Escort tech","L1",2015
"1210","Defense Tech / Take-down","L2",2015
"1211","Defense Tech / Take-down","L2",2015
"1212","Firearm Exhibited","L1",2015
"1213","Firearm Exhibited","L1",2015
"1214","Firearm Exhibited","L1",2015
"1215","Taser Exhibited ","L1",2015
"1216","Firearm Exhibited","L1",2015
"1217","Firearm Exhibited","L1",2015
"1218","Firearm Exhibited","L1",2015
"1219","Firearm Exhibited","L1",2015
"1220","Firearm Exhibited","L1",2015
"1221","Firearm Exhibited","L1",2015
"1222","Firearm Exhibited","L1",2015
"1223","Firearm Exhibited","L1",2015
"1224","Firearm Exhibited","L1",2015
"1225","Firearm Exhibited","L1",2015
"1226","Firearm Exhibited","L1",2015
"1227","Taser No-Hit","L2",2015
"1228","Hands / Escort tech","L1",2015
"1229","Hands / Escort tech","L1",2015
"1230","Hands / Escort tech","L1",2015
"1231","Defense Tech / Take-down","L2",2015
"1232","Defense Tech / Take-down","L2",2015
"1233","Firearm Exhibited","L1",2015
"1234","Firearm Exhibited","L1",2015
"1235","Canine (No Bite)","L1",2015
"1236","Hands / Escort tech","L1",2015
"1237","Taser No-Hit","L2",2015
"1238","Hands / Escort tech","L1",2015
"1239","Firearm Exhibited","L1",2015
"1240","Firearm Exhibited","L1",2015
"1241","Canine (No Bite)","L1",2015
"1242","Canine (No Bite)","L1",2015
"1243","Defense Tech / Take-down","L2",2015
"1244","Firearm Exhibited","L1",2015
"1245","Firearm Exhibited","L1",2015
"1246","Firearm Exhibited","L1",2015
"1247","Firearm Exhibited","L1",2015
"1248","Defense Tech / Take-down","L2",2015
"1249","Firearm Exhibited","L1",2015
"1250","Firearm Exhibited","L1",2015
"1251","Firearm Exhibited","L1",2015
"1252","Firearm Exhibited","L1",2015
"1253","Firearm Exhibited","L1",2015
"1254","Firearm Exhibited","L1",2015
"1255","Firearm Exhibited","L1",2015
"1256","Firearm Exhibited","L1",2015
"1257","Hands / Escort tech","L1",2015
"1258","Hands / Escort tech","L1",2015
"1259","Firearm Exhibited","L1",2015
"1260","Firearm Exhibited","L1",2015
"1261","Firearm Exhibited","L1",2015
"1262","Firearm Exhibited","L1",2015
"1263","Head strike while Hancuffed","L4",2015
"1264","Hands / Escort tech","L1",2015
"1265","Hands / Escort tech","L1",2015
"1266","Hands / Escort tech","L1",2015
"1267","Hands / Escort tech","L1",2015
"1268","Hands / Escort tech","L1",2015
"1269","Hands / Escort tech","L1",2015
"1270","Hands / Escort tech","L1",2015
"1271","Hands / Escort tech","L1",2015
"1272","Firearm Exhibited","L1",2015
"1273","Firearm Exhibited","L1",2015
"1274","Firearm Exhibited","L1",2015
"1275","Taser No-Hit","L2",2015
"1276","Hands / Escort tech","L1",2015
"1277","Hands / Escort tech","L1",2015
"1278","Hands / Escort tech","L1",2015
"1279","Hands / Escort tech","L1",2015
"1280","Hands / Escort tech","L1",2015
"1281","Hands / Escort tech","L1",2015
"1282","Hands / Escort tech","L1",2015
"1283","Hands / Escort tech","L1",2015
"1284","Taser Exhibited ","L1",2015
"1285","Firearm Exhibited","L1",2015
"1286","Hands / Escort tech","L1",2015
"1287","Hands / Escort tech","L1",2015
"1288","Firearm Exhibited","L1",2015
"1289","Hands / Escort tech","L1",2015
"1290","Hands / Escort tech","L1",2015
"1291","Hands / Escort tech","L1",2015
"1292","Hands / Escort tech","L1",2015
"1293","Firearm Exhibited","L1",2015
"1294","Firearm Exhibited","L1",2015
"1295","Firearm Exhibited","L1",2015
"1296","Firearm Exhibited","L1",2015
"1297","Firearm Exhibited","L1",2015
"1298","Firearm Exhibited","L1",2015
"1299","Firearm Exhibited","L1",2015
"1300","Firearm Exhibited","L1",2015
"1301","Firearm Exhibited","L1",2015
"1302","Firearm Exhibited","L1",2015
"1303","Firearm Exhibited","L1",2015
"1304","Firearm Exhibited","L1",2015
"1305","Firearm Exhibited","L1",2015
"1306","Firearm Exhibited","L1",2015
"1307","Firearm Exhibited","L1",2015
"1308","Taser No-Hit","L2",2015
"1309","Not reported","Not reported",2015
"1310","Defense Tech / Take-down","L2",2015
"1311","Hands / Escort tech","L1",2015
"1312","Hands / Escort tech","L1",2015
"1313","Firearm Exhibited","L1",2015
"1314","Taser Exhibited ","L1",2015
"1315","Defense Tech / Take-down","L2",2015
"1316","Firearm Exhibited","L1",2015
"1317","Firearm Exhibited","L1",2015
"1318","Firearm Exhibited","L1",2015
"1319","Firearm Exhibited","L1",2015
"1320","Firearm Exhibited","L1",2015
"1321","Firearm Exhibited","L1",2015
"1322","Firearm Exhibited","L1",2015
"1323","Firearm Exhibited","L1",2015
"1324","Firearm Exhibited","L1",2015
"1325","Firearm Exhibited","L1",2015
"1326","Hands / Escort tech","L1",2015
"1327","Hands / Escort tech","L1",2015
"1328","Hands / Escort tech","L1",2015
"1329","Hands / Escort tech","L1",2015
"1330","Hands / Escort tech","L1",2015
"1331","Defense Tech / Take-down","L2",2015
"1332","Defense Tech / Take-down","L2",2015
"1333","Firearm Discharged","L4",2015
"1334","Firearm Discharged","L4",2015
"1335","Firearm Discharged","L4",2015
"1336","Defense Tech / Take-down","L2",2015
"1337","Defense Tech / Take-down","L2",2015
"1338","Defense Tech / Take-down","L2",2015
"1339","Hands / Escort tech","L1",2015
"1340","Hands / Escort tech","L1",2015
"1341","Hands / Escort tech","L1",2015
"1342","Hands / Escort tech","L1",2015
"1343","Taser No-Hit","L2",2015
"1344","Firearm Exhibited","L1",2015
"1345","Firearm Exhibited","L1",2015
"1346","Firearm Exhibited","L1",2015
"1347","Firearm Exhibited","L1",2015
"1348","Firearm Exhibited","L1",2015
"1349","Firearm Exhibited","L1",2015
"1350","Firearm Exhibited","L1",2015
"1351","Firearm Exhibited","L1",2015
"1352","Hands / Escort tech","L1",2015
"1353","Defense Tech / Take-down","L2",2015
"1354","Hands / Escort tech","L1",2015
"1355","Firearm Exhibited","L1",2015
"1356","Hands / Escort tech","L1",2015
"1357","Firearm Discharged","L4",2015
"1358","Firearm Exhibited","L1",2015
"1359","Taser No-Hit","L2",2015
"1360","Hands / Escort tech","L1",2015
"1361","Hands / Escort tech","L1",2015
"1362","Firearm Exhibited","L1",2015
"1363","Defense Tech / Take-down","L2",2015
"1364","Firearm Exhibited","L1",2015
"1365","Defense Tech / Take-down","L2",2015
"1366","Hands / Escort tech","L1",2015
"1367","Firearm Exhibited","L1",2015
"1368","Firearm Exhibited","L1",2015
"1369","Firearm Exhibited","L1",2015
"1370","Taser Exhibited ","L1",2015
"1371","Firearm Exhibited","L1",2015
"1372","Firearm Exhibited","L1",2015
"1373","Firearm Exhibited","L1",2015
"1374","Firearm Exhibited","L1",2015
"1375","Firearm Exhibited","L1",2015
"1376","Firearm Exhibited","L1",2015
"1377","Firearm Exhibited","L1",2015
"1378","Firearm Exhibited","L1",2015
"1379","Firearm Exhibited","L1",2015
"1380","Firearm Exhibited","L1",2015
"1381","Firearm Exhibited","L1",2015
"1382","Firearm Exhibited","L1",2015
"1383","Firearm Exhibited","L1",2015
"1384","Firearm Exhibited","L1",2015
"1385","Defense Tech / Take-down","L2",2015
"1386","Firearm Exhibited","L1",2015
"1387","Firearm Exhibited","L1",2015
"1388","Defense Tech / Take-down","L2",2015
"1389","Defense Tech / Take-down","L2",2015
"1390","Hands / Escort tech","L1",2015
"1391","Hands / Escort tech","L1",2015
"1392","Hands / Escort tech","L1",2015
"1393","Taser Exhibited ","L1",2015
"1394","Hands / Escort tech","L1",2015
"1395","Firearm Exhibited","L1",2015
"1396","Defense Tech / Take-down","L2",2015
"1397","Defense Tech / Take-down","L2",2015
"1398","Defense Tech / Take-down","L2",2015
"1399","Defense Tech / Take-down","L2",2015
"1400","Taser Exhibited ","L1",2015
"1401","Taser Exhibited ","L1",2015
"1402","Hands / Escort tech","L1",2015
"1403","Hands / Escort tech","L1",2015
"1404","Taser Exhibited ","L1",2015
"1405","Firearm Exhibited","L1",2015
"1406","Firearm Exhibited","L1",2015
"1407","Firearm Exhibited","L1",2015
"1408","Firearm Exhibited","L1",2015
"1409","Firearm Exhibited","L1",2015
"1410","Firearm Exhibited","L1",2015
"1411","Firearm Exhibited","L1",2015
"1412","Firearm Exhibited","L1",2015
"1413","Firearm Exhibited","L1",2015
"1414","Firearm Exhibited","L1",2015
"1415","Firearm Exhibited","L1",2015
"1416","Firearm Exhibited","L1",2015
"1417","Firearm Exhibited","L1",2015
"1418","Firearm Exhibited","L1",2015
"1419","Defense Tech / Take-down","L2",2015
"1420","Hands / Escort tech","L1",2015
"1421","Hands / Escort tech","L1",2015
"1422","Hands / Escort tech","L1",2015
"1423","Hands / Escort tech","L1",2015
"1424","Hands / Escort tech","L1",2015
"1425","Hands / Escort tech","L1",2015
"1426","Taser No-Hit","L2",2015
"1427","Hands / Escort tech","L1",2015
"1428","Hands / Escort tech","L1",2015
"1429","Defense Tech / Take-down","L2",2015
"1430","Firearm Exhibited","L1",2015
"1431","Defense Tech / Take-down","L2",2015
"1432","Firearm Exhibited","L1",2015
"1433","Defense Tech / Take-down","L2",2015
"1434","Firearm Exhibited","L1",2015
"1435","Firearm Exhibited","L1",2015
"1436","Firearm Exhibited","L1",2015
"1437","Hands / Escort tech","L1",2015
"1438","Hands / Escort tech","L1",2015
"1439","Hands / Escort tech","L1",2015
"1440","Firearm Exhibited","L1",2015
"1441","Hands / Escort tech","L1",2015
"1442","Hands / Escort tech","L1",2015
"1443","Firearm Exhibited","L1",2015
"1444","Hands / Escort tech","L1",2015
"1445","Hands / Escort tech","L1",2015
"1446","Hands / Escort tech","L1",2015
"1447","Hands / Escort tech","L1",2015
"1448","Hands / Escort tech","L1",2015
"1449","Hands / Escort tech","L1",2015
"1450","Taser Exhibited ","L1",2015
"1451","Hands / Escort tech","L1",2015
"1452","Not reported","Not reported",2015
"1453","Taser Exhibited ","L1",2015
"1454","Defense Tech / Take-down","L2",2015
"1455","Defense Tech / Take-down","L2",2015
"1456","Taser No-Hit","L2",2015
"1457","Hands / Escort tech","L1",2015
"1458","Hands / Escort tech","L1",2015
"1459","Hands / Escort tech","L1",2015
"1460","Hands / Escort tech","L1",2015
"1461","Hands / Escort tech","L1",2015
"1462","Firearm Exhibited","L1",2015
"1463","Firearm Exhibited","L1",2015
"1464","Firearm Exhibited","L1",2015
"1465","Firearm Exhibited","L1",2015
"1466","Firearm Exhibited","L1",2015
"1467","Firearm Exhibited","L1",2015
"1468","Firearm Exhibited","L1",2015
"1469","Defense Tech / Take-down","L2",2015
"1470","Hands / Escort tech","L1",2015
"1471","Hands / Escort tech","L1",2015
"1472","Hands / Escort tech","L1",2015
"1473","Firearm Exhibited","L1",2015
"1474","Firearm Exhibited","L1",2015
"1475","Firearm Exhibited","L1",2015
"1476","Firearm Exhibited","L1",2015
"1477","Firearm Exhibited","L1",2015
"1478","Hands / Escort tech","L1",2015
"1479","Firearm Exhibited","L1",2015
"1480","Hands / Escort tech","L1",2015
"1481","Firearm Exhibited","L1",2015
"1482","Hands / Escort tech","L1",2015
"1483","Firearm Exhibited","L1",2015
"1484","Hands / Escort tech","L1",2015
"1485","Firearm Exhibited","L1",2015
"1486","Hands / Escort tech","L1",2015
"1487","Hands / Escort tech","L1",2015
"1488","Hands / Escort tech","L1",2015
"1489","Defense Tech / Take-down","L2",2015
"1490","Defense Tech / Take-down","L2",2015
"1491","Defense Tech / Take-down","L2",2015
"1492","Taser Exhibited ","L1",2015
"1493","Firearm Exhibited","L1",2015
"1494","Hands / Escort tech","L1",2015
"1495","Hands / Escort tech","L1",2015
"1496","Hands / Escort tech","L1",2015
"1497","Hands / Escort tech","L1",2015
"1498","Defense Tech / Take-down","L2",2015
"1499","Hands / Escort tech","L1",2015
"1500","Defense Tech / Take-down","L2",2015
"1501","Hands / Escort tech","L1",2015
"1502","Hands / Escort tech","L1",2015
"1503","Firearm Exhibited","L1",2015
"1504","Defense Tech / Take-down","L2",2015
"1505","Defense Tech / Take-down","L2",2015
"1506","Defense Tech / Take-down","L2",2015
"1507","Defense Tech / Take-down","L2",2015
"1508","Defense Tech / Take-down","L2",2015
"1509","Taser Exhibited ","L1",2015
"1510","Defense Tech / Take-down","L2",2015
"1511","Taser Exhibited ","L1",2015
"1512","Taser Exhibited ","L1",2015
"1513","Hands / Escort tech","L1",2015
"1514","Hands / Escort tech","L1",2015
"1515","Hands / Escort tech","L1",2015
"1516","Defense Tech / Take-down","L2",2015
"1517","Defense Tech / Take-down","L2",2015
"1518","Firearm Exhibited","L1",2015
"1519","Firearm Exhibited","L1",2015
"1520","Defense Tech / Take-down","L2",2015
"1521","Firearm Exhibited","L1",2015
"1522","Firearm Exhibited","L1",2015
"1523","Firearm Exhibited","L1",2015
"1524","Firearm Exhibited","L1",2015
"1525","Taser Exhibited ","L1",2015
"1526","Firearm Exhibited","L1",2015
"1527","Firearm Exhibited","L1",2015
"1528","Firearm Exhibited","L1",2015
"1529","Firearm Exhibited","L1",2015
"1530","Firearm Exhibited","L1",2015
"1531","Firearm Exhibited","L1",2015
"1532","Firearm Exhibited","L1",2015
"1533","Firearm Exhibited","L1",2015
"1534","Firearm Exhibited","L1",2015
"1535","Firearm Exhibited","L1",2015
"1536","Firearm Exhibited","L1",2015
"1537","Firearm Exhibited","L1",2015
