"","Force.type","Force.level","year.of.record"
"115","Firearm Exhibited","L1",2015
"116","Hands / Escort tech","L1",2015
"117","Defense Tech / Take-down","L2",2015
"118","Hands / Escort tech","L1",2015
"119","Defense Tech / Take-down","L2",2015
"120","Firearm Exhibited","L1",2015
"121","Hands / Escort tech","L1",2015
"122","Defense Tech / Take-down","L2",2015
"123","Hands / Escort tech","L1",2015
"124","Defense Tech / Take-down","L2",2015
"125","Hands / Escort tech","L1",2015
"126","Hands / Escort tech","L1",2015
"127","Firearm Exhibited","L1",2015
"128","Canine (No Bite)","L1",2015
"129","Hands / Escort tech","L1",2015
"130","Hands / Escort tech","L1",2015
"131","Defense Tech / Take-down","L2",2015
"132","Taser No-Hit","L2",2015
"133","Firearm Exhibited","L1",2015
"134","Defense Tech / Take-down","L2",2015
"135","Defense Tech / Take-down","L2",2015
"136","Defense Tech / Take-down","L2",2015
"137","Taser No-Hit","L2",2015
"138","Firearm Exhibited","L1",2015
"139","Hands / Escort tech","L1",2015
"140","Hands / Escort tech","L1",2015
"141","Firearm Exhibited","L1",2015
"142","Hands / Escort tech","L1",2015
"143","Firearm Exhibited","L1",2015
"144","Taser No-Hit","L2",2015
"145","Defense Tech / Take-down","L2",2015
"146","Firearm Exhibited","L1",2015
"147","Firearm Exhibited","L1",2015
"148","Firearm Exhibited","L1",2015
"149","Firearm Exhibited","L1",2015
"150","Hands / Escort tech","L1",2015
"151","Hands / Escort tech","L1",2015
"152","Hands / Escort tech","L1",2015
"153","Taser No-Hit","L2",2015
"154","Defense Tech / Take-down","L2",2015
"155","Canine (No Bite)","L1",2015
"156","Taser No-Hit","L2",2015
"157","Taser No-Hit","L2",2015
"158","Firearm Exhibited","L1",2015
"159","Firearm Exhibited","L1",2015
"160","Hands / Escort tech","L1",2015
"161","Firearm Exhibited","L1",2015
"162","Hands / Escort tech","L1",2015
"163","Hands / Escort tech","L1",2015
"164","Baton Miss","L2",2015
"165","Baton Miss","L2",2015
"166","Hands / Escort tech","L1",2015
"167","Hands / Escort tech","L1",2015
"168","Hands / Escort tech","L1",2015
"169","Hands / Escort tech","L1",2015
"170","Hands / Escort tech","L1",2015
"171","Hands / Escort tech","L1",2015
"172","Firearm Exhibited","L1",2015
"173","Hands / Escort tech","L1",2015
"174","Taser Exhibited ","L1",2015
"175","Firearm Exhibited","L1",2015
"176","Firearm Exhibited","L1",2015
"177","Taser No-Hit","L2",2015
"178","Taser No-Hit","L2",2015
"179","Firearm Exhibited","L1",2015
"180","Hands / Escort tech","L1",2015
"181","Hands / Escort tech","L1",2015
"182","Hands / Escort tech","L1",2015
"183","Taser Hit","L4",2015
"184","Hands / Escort tech","L1",2015
"185","Hands / Escort tech","L1",2015
"186","Hands / Escort tech","L1",2015
"187","Hands / Escort tech","L1",2015
"188","Defense Tech / Take-down","L2",2015
"189","Not reported","Not reported",2015
"190","Taser No-Hit","L2",2015
"191","Hands / Escort tech","L1",2015
"192","Defense Tech / Take-down","L2",2015
"193","Taser Exhibited ","L1",2015
"194","Hands / Escort tech","L1",2015
"195","Hands / Escort tech","L1",2015
"196","Hands / Escort tech","L1",2015
"197","Hands / Escort tech","L1",2015
"198","Taser Hit","L4",2015
"199","Hands / Escort tech","L1",2015
"200","Hands / Escort tech","L1",2015
"201","Taser No-Hit","L2",2015
"202","Hands / Escort tech","L1",2015
"203","Hands / Escort tech","L1",2015
"204","Taser Exhibited ","L1",2015
"205","Taser No-Hit","L2",2015
"206","Hands / Escort tech","L1",2015
"207","Defense Tech / Take-down","L2",2015
"208","Defense Tech / Take-down","L2",2015
"209","Taser Exhibited ","L1",2015
"210","Taser Exhibited ","L1",2015
"211","Firearm Exhibited","L1",2015
"212","Firearm Exhibited","L1",2015
"213","Hands / Escort tech","L1",2015
"214","Hands / Escort tech","L1",2015
"215","Taser Exhibited ","L1",2015
"216","Firearm Exhibited","L1",2015
"217","Hands / Escort tech","L1",2015
"218","Firearm Exhibited","L1",2015
"219","Firearm Exhibited","L1",2015
"220","Firearm Exhibited","L1",2015
"221","Firearm Exhibited","L1",2015
"222","Firearm Exhibited","L1",2015
"223","Firearm Exhibited","L1",2015
"224","Firearm Exhibited","L1",2015
"225","Firearm Exhibited","L1",2015
"226","Firearm Exhibited","L1",2015
"227","Firearm Exhibited","L1",2015
"228","Hands / Escort tech","L1",2015
"229","Defense Tech / Take-down","L2",2015
"230","Hands / Escort tech","L1",2015
"231","Hands / Escort tech","L1",2015
"232","Taser No-Hit","L2",2015
"233","Taser Exhibited ","L1",2015
"234","Taser Exhibited ","L1",2015
"235","Defense Tech / Take-down","L2",2015
"236","Hands / Escort tech","L1",2015
"237","Defense Tech / Take-down","L2",2015
"238","Firearm Exhibited","L1",2015
"239","Canine (No Bite)","L1",2015
"240","Taser Exhibited ","L1",2015
"241","Defense Tech / Take-down","L2",2015
"242","Defense Tech / Take-down","L2",2015
"243","Taser No-Hit","L2",2015
"244","Defense Tech / Take-down","L2",2015
"245","Defense Tech / Take-down","L2",2015
"246","Hands / Escort tech","L1",2015
"247","Hands / Escort tech","L1",2015
"248","Defense Tech / Take-down","L2",2015
"249","Hands / Escort tech","L1",2015
"250","Defense Tech / Take-down","L2",2015
"251","Hands / Escort tech","L1",2015
"252","Not reported","Not reported",2015
"253","Defense Tech / Take-down","L2",2015
"254","Taser Exhibited ","L1",2015
"255","Taser No-Hit","L2",2015
"256","Taser No-Hit","L2",2015
"257","Taser Exhibited ","L1",2015
"258","Defense Tech / Take-down","L2",2015
"259","Taser No-Hit","L2",2015
"260","Canine (Bite)","L4",2015
"261","Taser No-Hit","L2",2015
"262","Taser No-Hit","L2",2015
"263","Taser No-Hit","L2",2015
"264","Hands / Escort tech","L1",2015
"265","Hands / Escort tech","L1",2015
"266","Hands / Escort tech","L1",2015
"267","Hands / Escort tech","L1",2015
"268","Canine (No Bite)","L1",2015
"269","Taser No-Hit","L2",2015
"270","Taser Exhibited ","L1",2015
"271","Hands / Escort tech","L1",2015
"272","Hands / Escort tech","L1",2015
"273","Hands / Escort tech","L1",2015
"274","Hands / Escort tech","L1",2015
"275","Hands / Escort tech","L1",2015
"276","Firearm Exhibited","L1",2015
"277","Firearm Exhibited","L1",2015
"278","Firearm Exhibited","L1",2015
"279","Hands / Escort tech","L1",2015
"280","Hands / Escort tech","L1",2015
"281","Hands / Escort tech","L1",2015
"282","Hands / Escort tech","L1",2015
"283","Hands / Escort tech","L1",2015
"284","Firearm Exhibited","L1",2015
"285","Firearm Exhibited","L1",2015
"286","Firearm Exhibited","L1",2015
"287","Hands / Escort tech","L1",2015
"288","Hands / Escort tech","L1",2015
"289","Defense Tech / Take-down","L2",2015
"290","Taser Exhibited ","L1",2015
"291","Defense Tech / Take-down","L2",2015
"292","Defense Tech / Take-down","L2",2015
"293","Hands / Escort tech","L1",2015
"294","Taser No-Hit","L2",2015
"295","Firearm Exhibited","L1",2015
"296","Taser Exhibited ","L1",2015
"297","Canine (No Bite)","L1",2015
"298","Firearm Exhibited","L1",2015
"299","Taser No-Hit","L2",2015
"300","Hands / Escort tech","L1",2015
"301","Hands / Escort tech","L1",2015
"302","Hands / Escort tech","L1",2015
"303","Taser Exhibited ","L1",2015
"304","Hands / Escort tech","L1",2015
"305","Taser Exhibited ","L1",2015
"306","Defense Tech / Take-down","L2",2015
"307","Defense Tech / Take-down","L2",2015
"308","Taser No-Hit","L2",2015
"309","Defense Tech / Take-down","L2",2015
"310","Defense Tech / Take-down","L2",2015
"311","Taser No-Hit","L2",2015
"312","Taser Exhibited ","L1",2015
"313","Taser No-Hit","L2",2015
"314","Hands / Escort tech","L1",2015
"315","Hands / Escort tech","L1",2015
"316","Hands / Escort tech","L1",2015
"317","Firearm Exhibited","L1",2015
"318","Firearm Exhibited","L1",2015
"319","Firearm Exhibited","L1",2015
"320","Firearm Exhibited","L1",2015
"321","Defense Tech / Take-down","L2",2015
"322","Defense Tech / Take-down","L2",2015
"323","Hands / Escort tech","L1",2015
"324","Defense Tech / Take-down","L2",2015
"325","Hands / Escort tech","L1",2015
"326","Hands / Escort tech","L1",2015
"327","Firearm Exhibited","L1",2015
"328","Firearm Exhibited","L1",2015
"329","Firearm Exhibited","L1",2015
"330","Firearm Exhibited","L1",2015
"331","Firearm Exhibited","L1",2015
"332","Firearm Exhibited","L1",2015
"333","Firearm Exhibited","L1",2015
"334","Firearm Exhibited","L1",2015
"335","Firearm Exhibited","L1",2015
"336","Firearm Exhibited","L1",2015
"337","Defense Tech / Take-down","L2",2015
"338","Hands / Escort tech","L1",2015
"339","Hands / Escort tech","L1",2015
"340","Canine (Bite)","L4",2015
"341","Defense Tech / Take-down","L2",2015
"342","Defense Tech / Take-down","L2",2015
"343","Taser Exhibited ","L1",2015
"344","Firearm Exhibited","L1",2015
"345","Hands / Escort tech","L1",2015
