"","Folder.number","Race","In.Year","In.Month"
"243","9e1035dfe2b34caa49c7cda0b99f36c1","White",2017,1
"244","fc09ecf80d0912816ee56c5528986a8b","Black / African American",2017,1
"245","b2f1c34da8bef0360fd85d4d66ccc950","White",2017,1
"246","72ae14495574f10f81ffc2566b997142","White",2017,1
"247","f961c1d3b4c9ba3eba5486173574165b","Black / African American",2017,1
"248","f83580c2e0797511f39f02da3a278080","Black / African American",2017,1
"249","f3e0a15d304224dd566f24fee52539f2","Black / African American",2017,1
"250","b0723abfbd959837a89e7590a7712d96","Black / African American",2017,1
"251","97e6e3bfdd968c09c4a80bdb0a612547","Black / African American",2017,1
"252","e7c9a38c71a1c22d7e7ca706d27d4177","Black / African American",2017,1
"253","af13909bd118e7f1ff488e6db458f20c","Black / African American",2017,1
"254","116b2cebbc9a7c7f41297fab6d432827","Black / African American",2017,1
"255","e68563d776394c128d6c08a52f221a2a","Black / African American",2017,1
"256","d7e8bd0ea9bb37d0c981672b2eba892e","Black / African American",2017,1
"257","22dd0e4610afc1f870290f7534f9172e","Black / African American",2017,1
"258","39da26472993ee5033f77d4af754409d","Black / African American",2017,1
"259","2ca10579edc6344774af56517c123408","Hispanic / Latinx",2017,1
"260","0b1df17b1374e055bb0324aee0ad1e7f","Black / African American",2017,1
"261","1efe9a41861821edb49ae38329b1c282","Black / African American",2017,1
"262","5ba09416c3d76e92ffc9a68ff735cde5","Black / African American",2017,1
"263","565e1792274e4fa1e5d1dcb9aae8c000","White",2017,1
"264","9ad99c2ca70896252998f752e1d79d90","Black / African American",2017,1
"265","7ead6dbbaee1cebe54bf35c8b3694145","Black / African American",2017,1
"266","fc7ca8bbbc7144594312b2036d1e85cc","Black / African American",2017,1
"267","0e7655d4cb795457b27512f40ce759b7","White",2017,1
"268","bdcf57dc7091d6ad4c3870d61e28cc59","White",2017,1
"269","e76812e0b87817880df1e15971b27e34","Black / African American",2017,1
"270","b3a0783cabf1e89b493dd6a618faba96","Black / African American",2017,1
"271","2d6c97e0a404806738070a5b0945489a","Black / African American",2017,1
"272","9eebb98b9f5aadd2836198e0873e133f","Black / African American",2017,1
"273","c0780ee383ac401d7a3317f2bf93fc8b","Black / African American",2017,1
"274","421772558bed00ee3586ee06e2f87668","Black / African American",2017,1
"275","ca92f38c8941207d50dc11566a85af24","Black / African American",2017,1
